symbol,created_at,body,followers,sentiment,raw_compound,compound_bin,sentiment_number,modified_rating,modified?
NVDA,2021-02-26T15:06:36Z,$NVDA,0,None,0.0,0.0,0.0,0,No
NVDA,2021-02-26T15:00:44Z,$NVDA Need this hop over 550 and stay there  cmon back,2,Bullish,0.0,0.0,1.0,0,No
NVDA,2021-02-26T14:59:51Z,$NVDA long term these are great prices 🥱  load the boat.,4,Bullish,0.6249,1.0,1.0,0,No
NVDA,2021-02-26T14:54:55Z,$NVDA Chill out my dear friends. Look where we at! 🍻🍻🍻🏝🌞✌,1,Bullish,0.7177,1.0,1.0,0,No
NVDA,2021-02-26T14:54:44Z,$NVDA Nasdaq selling off and 10-yr creeping up.  Need that to reverse and this could rebound in the next couple weeks.  Otherwise there is no way this bucks the overall market trend.,18,None,-0.296,-1.0,0.0,0,No
NVDA,2021-02-26T14:53:11Z,$NVDA fucking retarded,28,Bullish,-0.6115,-1.0,1.0,0,No
NVDA,2021-02-26T14:52:01Z,$NVDA,6,Bearish,0.0,0.0,-1.0,0,No
NVDA,2021-02-26T14:50:20Z,$TSLA $NVDA $QQQ $SPY here comes the drop,20,Bearish,-0.2732,-1.0,-1.0,0,No
NVDA,2021-02-26T14:48:56Z,$NVDA Did we fall victim to the Cramer kiss of death again?😩😩😩,49,Bullish,-0.7269,-1.0,1.0,0,No
NVDA,2021-02-26T14:48:45Z,$NVDA random bears from yesterday claiming 510-520 $SPY 🤣,473,Bullish,0.0,0.0,1.0,0,No
NVDA,2021-02-26T14:46:32Z,Back above the 50day SMA on $NVDA     $SPY,3,None,0.0,0.0,0.0,0,No
NVDA,2021-02-26T14:44:03Z,$NVDA As long as the market makers don’t screw with this 560 to 570 near term 610 next week.,49,Bullish,-0.1027,-1.0,1.0,0,No
NVDA,2021-02-26T14:43:15Z,$NVDA,28,Bullish,0.0,0.0,1.0,0,No
NVDA,2021-02-26T14:42:42Z,$NVDA  nice lets go towards 600 🚀💸💸,12393,Bullish,0.4215,1.0,1.0,0,No
NVDA,2021-02-26T14:41:39Z,$NVDA The quarterly results were out of this world! This could easily spring to $610!,49,Bullish,0.4559,1.0,1.0,0,No
NVDA,2021-02-26T14:40:46Z,$NVDA congrats followers made 900/contract! Sold a good chunk at 550 Good stuff :) sold all but 1 ..Follow for alerts :) $TSLA $SPY $GME $AMC,3941,Bullish,0.8858,1.0,1.0,0,No
NVDA,2021-02-26T14:37:56Z,$AMZN bought 100 shares yesterday sold 600 shares of $NVDA I honestly think that $NVDANVDA will go to 800 in the next 24 months and $AMZN will top 4000 within the same time frame. If $AMZN does a stock split all bets are off. We could see 4K by year-end.,30,Bullish,0.802,1.0,1.0,0,No
NVDA,2021-02-25T20:15:58Z,$SNOW we have been nailing these plays to the downside $NVDA $SQ $SPY $TSLA,174,None,0.0,0.0,0.0,0,No
NVDA,2021-02-25T20:14:55Z,$NVDA die you piece of trash!!,74,Bearish,-0.6688,-1.0,-1.0,0,No
NVDA,2021-02-25T20:14:10Z,$NVDA welcome to the doldrums,18,Bearish,0.4588,1.0,-1.0,0,No
NVDA,2021-02-25T20:12:10Z,$NVDA WOW MM Mother Fuckers Great JOB!,3,None,0.7206,1.0,0.0,0,No
NVDA,2021-02-25T20:11:41Z,$HPQ Congrats your company beat earnings and you got rewarded...$AMD $NVDA are jealous.,2,None,0.1027,1.0,0.0,0,No
NVDA,2021-02-25T20:11:02Z,$NVDA not going below $529,93,Bullish,0.0,0.0,1.0,0,No
NVDA,2021-02-25T20:10:40Z,$NVDA Long-term investors knowing damn well this is going to $900 by 2022 watching people freak out after a post ER drop,41,Bullish,-0.6808,-1.0,1.0,0,No
NVDA,2021-02-25T20:10:26Z,$NVDA if bulls did any research you would know a few weeks back AMD crushed earnings + guidance had a bunch of price target upgrades and fell 15%. welcome to the struggle.,17,None,-0.2732,-1.0,0.0,0,No
NVDA,2021-02-25T20:10:14Z,$AAPL $FB $NVDA Wow bouncing now! New highs next week. Buying the Dip with both hands. Limit up!,26,Bullish,0.658,1.0,1.0,0,No
NVDA,2021-02-25T20:09:12Z,$NVDA $AAPL we&#39;re going to hit Circuit Breaker,18,Bearish,0.0,0.0,-1.0,0,No
NVDA,2021-02-25T20:08:57Z,$NVDA Major Crash,18,Bearish,-0.4019,-1.0,-1.0,0,No
NVDA,2021-02-25T20:08:42Z,$NVDA Y’all called me a clown on these posts. 🔮,10,None,0.0,0.0,0.0,0,No
NVDA,2021-02-25T20:06:36Z,$AAPL omg! LOOK OUT BELOW!!! $NVDA,18,Bearish,0.0,0.0,-1.0,0,No
NVDA,2021-02-25T20:06:09Z,$NVDA WOw ... how the F^^^ was this 597 24 hours ago ???..What a joke  down 63 points ...... WOW,107,Bearish,0.9016,1.0,-1.0,0,No
NVDA,2021-02-25T20:06:09Z,$NVDA Whatever. They crushed earnings. Growth is still the way to go,51,Bullish,-0.0516,0.0,1.0,0,No
NVDA,2021-02-25T20:06:06Z,$HPQ $gme doesn&#39;t even halt this long wtf is going on.$NVDA $spy $UVXY,24,Bullish,-0.5859,-1.0,1.0,0,No
NVDA,2021-02-25T20:05:04Z,$DRNK $NVDA needs for start going up!! So I can collect my gains to throw into $DRNK . A better stock then $SNDL,34,Bullish,0.7081,1.0,1.0,0,No
NVDA,2021-02-25T20:02:34Z,$NVDA sell if you&#39;re still holding  markets will close at day lows,20,Bearish,-0.2023,-1.0,-1.0,0,No
NVDA,2021-02-25T20:00:56Z,$HPQ amazing beat $spy $NVDA $INTC,24,Bullish,0.5859,1.0,1.0,0,No
NVDA,2021-02-25T19:58:16Z,$NVDA Relentless.,60,Bullish,0.0516,0.0,1.0,0,No
NVDA,2021-02-25T19:57:49Z,$NVDA I should start charging my friends lol 😂 for market calls $NVDA 🚀🔥,34,Bullish,0.7096,1.0,1.0,0,No
NVDA,2021-02-25T19:56:38Z,$NVDA  banking on jensen to really hit a homerun tonight.  Rolled into 550 calls.,2,Bullish,0.0,0.0,1.0,0,No
NVDA,2021-02-25T03:08:54Z,Number 1 trending $NVDA,6883,None,0.0772,0.0,0.0,0,No
NVDA,2021-02-25T03:07:32Z,oh NVIDIA  honestly all i know about this company is that it makes dope chips. don’t know a lick about the technicals but i hold a share just because of how much money this company made me. i have nothing but admiration and love for NVIDA..so please Lord of Chips  hear my prayer..please help me $NVDA you’re my only hope..fellow small fish  I am being censored on $SONM ($1.18 as of now) for calling out the big fish scare tactics. my posts are being erased and the company is being actively shorted. Goldman professional traders talking smack and putting up fake 127k share walls. driven MINUS 42% over the past 5 days ..PLEASE throw your extra change at this company. what is happening to this stock has been borderline criminal ..viva la revolution,2,None,0.481,1.0,0.0,0,No
NVDA,2021-02-25T03:06:27Z,$NVDA Come on down to $545 so I can add,321,Bullish,0.0,0.0,1.0,0,No
NVDA,2021-02-25T03:04:48Z,$NVDA Oh boy!!!,4542,Bullish,0.0,0.0,1.0,0,No
NVDA,2021-02-25T03:02:05Z,$ETEK So the price is only $0.0014 (less than a penny) Outstanding shares only 251m. Closed 27% up today on only 275m shares. Imagine if the cats over at $NVDA $NOK or $BB to throw their spare change in. We’d hit copper in a day! It would be fun to see if we could do it on a custodial play. We should try it!,196,Bullish,0.9285,1.0,1.0,0,No
NVDA,2021-02-25T02:57:15Z,$NNDM nano can do COMPLEX.MULTILAYER.PCB.(50 LAYERS)   50 layers  this is just insane.   $amd $nvda $intc,810,Bullish,-0.4019,-1.0,1.0,0,No
NVDA,2021-02-25T02:54:55Z,$SOS 10000 mining rigs received and more to come in the following months...  people calling this company a scam is so dumb when they said the same thing about $MARA before they popped $GME $AMC $NVDA,3,None,-0.807,-1.0,0.0,0,No
NVDA,2021-02-25T02:54:37Z,$nndm lets gooo..Nano Dimension bridges the gap between PCB and semiconductor Integrated Circuits..$amd $intc $nvda,810,Bullish,0.0,0.0,1.0,0,No
NVDA,2021-02-25T02:53:11Z,$NVDA Nvidia reported earnings after the close. The company posted record quarterly and full-year revenue  growing 61% and 53% respectively.    WOOOOOOW!!!!..Here are the numbers:..EPS: $3.10 vs $2.81 est..Revenue: $5B +61% YoY,4,Bullish,0.6449,1.0,1.0,0,No
NVDA,2021-02-25T02:51:47Z,$NVDA Buy the dip?,5,Bullish,0.0,0.0,1.0,0,No
NVDA,2021-02-25T02:44:12Z,$NVDA who else remembers snap earnings  down 8% day of to 52 and $70 now,93,Bullish,0.0,0.0,1.0,0,No
NVDA,2021-02-25T02:39:55Z,$AMZN 2980 remains a very short term magnet. 2-5 days. BTMFD level. ..This trend is true across the board for $AAPL $AMD $NVDA . Watch out next couple days to downside and rocket.,4600,None,0.2023,1.0,0.0,0,No
NVDA,2021-02-25T02:34:23Z,$SOS $AMC $NVDA $GME $TSLA  there’s a reason Rihanna  Elon Musk  and Warren Buffet are buying SOS. Don’t miss the run.,9,None,-0.1531,-1.0,0.0,0,No
NVDA,2021-02-25T02:32:55Z,One of the best trading teams around imo !! They do options  swing trading🔥  text alerts SMS 🔥  day trading! They have live Streams on the weekend to learn!! I doubled my account the first week !!💯.  .real.ctradinginvestor.net..$nvda $sos $gme  &gt;:,1,Bullish,0.7482,1.0,1.0,0,No
NVDA,2021-02-25T02:28:58Z,$NVDA ah i’ll just hold my shares it will go back above 600 soon enough,158,Bullish,0.296,1.0,1.0,0,No
NVDA,2021-02-25T02:24:47Z,$NVDA why the dip,534,None,0.0,0.0,0.0,0,No
NVDA,2021-02-25T02:21:32Z,$NVDA fake dump. huge whales will buy pre-market.,89,Bullish,-0.5267,-1.0,1.0,0,No
NVDA,2021-02-25T02:15:23Z,$KNRLF $MSFT $IBM $GOOG $NVDA ..This is the future!,21,None,0.0,0.0,0.0,0,No
NVDA,2021-02-25T02:14:35Z,$NVDA &quot;This year was extraordinary. The pandemic will pass  but the world has been changed forever. Technology adoption is accelerating across every industry. Companies and products need to be more remote and autonomous. This will drive data centers  AI and robotics. This underlies the accelerated adoption of Nvidia&#39;s technology  the urgency to digitize  automate and accelerate innovation has never been higher. We are ready. We look forward to updating you on our progress next quarter. Thanks a lot.&quot;,1473,Bullish,0.9349,1.0,1.0,0,No
NVDA,2021-02-25T02:14:11Z,$NVDA soooo bullish — from the Conf call. &quot;good progress&quot; is being made toward acquiring Arm.  &quot;process is moving forward as expected&quot;   &quot; love and intend to maintain Arm&#39;s open licensing model.&quot; Guidance is big ,1473,Bullish,0.6369,1.0,1.0,0,No
NVDA,2021-02-25T02:12:27Z,$NVDA - If it really dips  buying more. Long term future growth stock.,1,Bullish,0.3818,1.0,1.0,0,No
NVDA,2021-02-25T02:12:19Z,@kendrickperkgoatPhD $NVDA Not a chance! If you speed up the fist pumping (Maybe),2,None,-0.2575,-1.0,0.0,0,No
NVDA,2021-02-24T15:27:06Z,$NVDA Earnings Risky Idea  26th Cycle. 505/510 - 625/630 Iron Condor Rcvd $.92.   $SPY $MU $AMD,3,Bullish,-0.2023,-1.0,1.0,0,No
NVDA,2021-02-24T15:26:17Z,$SPY $FB $AAPL $NFLX $NVDA     Even great stocks like AAPL eventually take a bullet in the head. Especially when innovation dies (hint: Steve Jobs RIP).,26,None,0.8583,1.0,0.0,0,No
NVDA,2021-02-24T15:25:51Z,$NVDA So who’s selling when this thing will be over $600 by EOW?  🤔🤔🤝🤝🤯🤯🚀🚀🚀🚀,360,Bullish,0.0,0.0,1.0,0,No
NVDA,2021-02-24T15:25:09Z,$NVDA in with $650 3/5 c,3,Bullish,0.0,0.0,1.0,0,No
NVDA,2021-02-24T15:21:21Z,With the recent shortage in chips and surge in demand  this will only increase the appeal for names like $AMD  $NVDA and $INTC. They are all going to be winners in my book.,108,Bullish,0.6597,1.0,1.0,0,No
NVDA,2021-02-24T15:21:07Z,$NVDA They have this POS on lockdown!!!,0,None,0.0,0.0,0.0,0,No
NVDA,2021-02-24T15:16:19Z,$NVDA loaded 600 3/5 calls @ 6.90,8,Bullish,0.0,0.0,1.0,0,No
NVDA,2021-02-24T15:16:12Z,$NVDA Bull after ER but what bull if all the money that lost from monday,2,None,-0.4497,-1.0,0.0,0,No
NVDA,2021-02-24T15:16:02Z,$NVDA $AAPL $AMZN  thats the problem. People r really into cruises airlines and weed . Doesn&#39;t make sense to me,2,None,-0.4019,-1.0,0.0,0,No
NVDA,2021-02-24T15:14:30Z,$NVDA $AAPL $AMZN   buy bankrupt companies like cruise or airlines  not these pos money making machines 😡,23,None,-0.2732,-1.0,0.0,0,No
NVDA,2021-02-24T15:10:51Z,$NVDA Tech stocks getting hit LVS or any travel is a better buy now..,1,None,0.4404,1.0,0.0,0,No
NVDA,2021-02-24T15:10:40Z,$NVDA 🚀🚀🚀💯 after ER,28,Bullish,0.0,0.0,1.0,0,No
NVDA,2021-02-24T15:08:17Z,$NVDA anyone buying calls here?,5,None,0.0,0.0,0.0,0,No
NVDA,2021-02-24T15:05:05Z,$NVDA anybody playing ER?  What’s your play?,48,None,0.5514,1.0,0.0,0,No
NVDA,2021-02-24T15:03:45Z,$NVDA They might announce a split during earnings.,3,Bullish,0.0,0.0,1.0,0,No
NVDA,2021-02-24T15:02:09Z,$NVDA - Why would anyone sell going into this earnings day???,1,Bullish,0.0,0.0,1.0,0,No
NVDA,2021-02-24T15:01:51Z,$NVDA Its actually insane that the market doesn&#39;t understand how important this company is yet. They are the largest ai company on the planet. Go on CrunchBase and look at all the early ai startups  ALL of them are partnered with Nvidia. Nvidia will be a 2 trillion dollar company in under 10 years. They have the autonomous driving market on lock: NIO  Li Auto  Xpeng  SAIC/Alibaba  Hyundai  Mercedes  volvo  audi and Volkswagen are all going to be using Nvidia&#39;s drive agx platform for autonomous driving.,3,Bullish,-0.2263,-1.0,1.0,0,No
NVDA,2021-02-24T14:59:15Z,$NVDA short dead cat bounce,7,Bearish,-0.6486,-1.0,-1.0,0,No
NVDA,2021-02-24T14:50:09Z,$NVDA $700 tonight?,712,Bullish,0.0,0.0,1.0,0,No
MSFT,2021-03-05T21:06:48Z,$MSFT Was taking a walk and guess what I saw,578,None,0.0,0.0,0.0,0,No
MSFT,2021-03-05T20:59:53Z,$msft daily..A close above 229.52 should setup 234.5 235-236 Monday,2352,None,0.0,0.0,0.0,0,No
MSFT,2021-03-05T20:51:57Z,$MSFT L....M...A...O,133,None,0.0,0.0,0.0,0,No
MSFT,2021-03-05T20:42:08Z,$BTC.X Which is the next company to announce they&#39;ve bought bitcoin? $MSFT $AAPL $AMZN,5,Bullish,0.0,0.0,1.0,0,No
MSFT,2021-03-05T20:36:50Z,$MSFT comment sentiment on /r/wallstreetbets over the last 24 hours..Comment volume at topstonks.com/stocks/MSFT?st_msft..#msft    #wallstreetbets,1269,None,0.0,0.0,0.0,0,No
MSFT,2021-03-05T20:36:14Z,$AAPL $MSFT up $5+ we we can&#39;t have that? where is TIM,6,Bullish,0.0,0.0,1.0,0,No
MSFT,2021-03-05T20:32:48Z,$FB $AAPL $MSFT amazing keeping the index up !,37,Bullish,0.6239,1.0,1.0,0,No
MSFT,2021-03-05T20:32:09Z,$MSFT help a brotha out and acquire $IMMR 🤣🤣,3,Bullish,0.4019,1.0,1.0,0,No
MSFT,2021-03-05T20:26:06Z,$VACQ is to $MSFT  as $HOL is to $DELL,22,None,0.0,0.0,0.0,0,No
MSFT,2021-03-05T20:24:59Z,$MSFT don&#39;t go limp on me now...,583,Bullish,0.0,0.0,1.0,0,No
MSFT,2021-03-05T20:20:16Z,45 minutes before the close - $GOOGL  $MSFT  $FB up more than 2%  $AMZN $AAPL and NFLX moving red to green. Close is what matters...,20211,None,0.0,0.0,0.0,0,No
MSFT,2021-03-05T20:05:04Z,$MSFT See you at 300 in summer,16,Bullish,0.0,0.0,1.0,0,No
MSFT,2021-03-05T20:02:44Z,$WMT $TGT $JNJ $MSFT $IBM .. .  ,575,Bullish,0.0,0.0,1.0,0,No
MSFT,2021-03-05T19:59:24Z,$MSFT,4,Bullish,0.0,0.0,1.0,0,No
MSFT,2021-03-05T19:58:42Z,$MSFT Who doesn&#39;t love this?,4155,None,0.6369,1.0,0.0,0,No
MSFT,2021-03-05T19:57:32Z,$MSFT don’t let the White House thing bother you - govt always messes up n Bidenscin bed with them anyway - check the donations,166,Bullish,-0.34,-1.0,1.0,0,No
MSFT,2021-03-05T19:54:02Z,Microsoft&#39;s Exchange email breach spreads outside U.S. . .$MSFT,98,None,0.0,0.0,0.0,0,No
MSFT,2021-03-05T02:11:50Z,$SPY looks like i might finally get the chance to add $MSFT,28,Bullish,0.5423,1.0,1.0,0,No
MSFT,2021-03-05T02:09:41Z,We are the United States of America. We will come back harder after any crash that comes our way.  $TSLA $AAPL $AMZN $FB $MSFT,136,Bullish,0.0258,0.0,1.0,0,No
MSFT,2021-03-05T01:50:41Z,$TSLA $SPY $AAPL $MSFT when kids start to think they are genuis because they making money on the market  that&#39;s when you know something bad is going to happen..,15,Bearish,-0.5423,-1.0,-1.0,0,No
MSFT,2021-03-05T01:23:10Z,$MSFT What we all expected is happening,44,None,0.0,0.0,0.0,0,No
MSFT,2021-03-05T01:03:51Z,$HEAR with Hyper X bought by $HPQ  I am failing to see how we don&#39;t get bought out at these prices especially with our Roccat and Neat PC lines. Who will it be? $DELL $MSFT ?,24,Bullish,-0.168,-1.0,1.0,0,No
MSFT,2021-03-05T01:01:50Z,$AAPL $MSFT $QQQ $ZM ..We only have 6% correction so far .. Imagine   where the market will be when it does 15% correction ? ..Powell and 10 Yr Treasury is the New Covid of 2021 ... Just like March of 2020..,51,None,0.5106,1.0,0.0,0,No
MSFT,2021-03-05T00:47:15Z,@Blockgrowacettrash .my DD leads me to $peculate  it’s $MSFT + $VUZI  = 🧠,25,Bullish,0.0,0.0,1.0,0,No
MSFT,2021-03-05T00:29:31Z,$MSFT Still a long way to go down. Buckle up and make sure to buy some lube.,9,Bearish,0.3182,1.0,-1.0,0,No
MSFT,2021-03-05T00:16:37Z,$MSFT well soup again for dinner tonight. Was hoping for steak but futures already down over half percent.,4,None,0.3506,1.0,0.0,0,No
MSFT,2021-03-05T00:13:19Z,$QCOM Welcome your new business partner $MAXD  everything will be sounding so much $AAPL $MSFT $MVIS,15,None,0.4588,1.0,0.0,0,No
MSFT,2021-03-04T23:47:47Z,$MSFT comment sentiment on /r/wallstreetbets over the last 24 hours..Comment volume at topstonks.com/stocks/MSFT?st_msft..#msft    #wallstreetbets,1275,None,0.0,0.0,0.0,0,No
MSFT,2021-03-04T23:39:10Z,@Dreamworks27 @path3tic remember I didn&#39;t say sell. I said baghold. Lol ..U sell the pop and baghold for another year until the next pop. $SPCE  ..$CLOV is shit  $open  just popped 3 weeks and gonna turn to shit . ..Can&#39;t even compare these returns to that of $pypl or $MSFT,7,None,-0.6597,-1.0,0.0,0,No
MSFT,2021-03-04T22:50:09Z,$SPY $QQQ $AAPL $MSFT Chicago Fed NFCI - Leverage ticking down to -0.12. The lower that number goes  the more favorable for stocks.,67,None,0.3597,1.0,0.0,0,No
MSFT,2021-03-04T22:49:23Z,$GOOGL $MSFT $AAPL.If you are a long term holder I wouldn’t worry too much about these.  I know I used Google  Apple iPhone and Microsoft today along with millions of other people I’m sure.,3,None,-0.1531,-1.0,0.0,0,No
MSFT,2021-03-04T22:31:27Z,$MSFT lets go high tomorrow. $230 load up shares 🙌🙌🙌🙌,54,Bullish,0.296,1.0,1.0,0,No
MSFT,2021-03-04T22:25:28Z,$MSFT terrible,166,Bearish,-0.4767,-1.0,-1.0,0,No
MSFT,2021-03-04T22:24:25Z,$MSFT was hated forever then went up parabolically as if it is so much better. Dump to come with higher rates,7,Bearish,-0.5974,-1.0,-1.0,0,No
MSFT,2021-03-04T14:33:17Z,$UNVC what brain dead illiterate moron would sell at 12 cents lol? Fucking fools. To the rest  how are you celebrating today? $BTC.X if only more people knew what’s about to happen... $AAPL $TSLA $MSFT,2,Bullish,-0.7053,-1.0,1.0,0,No
MSFT,2021-03-04T14:22:27Z,$AMZN This spy analysis can impact how amzn  $aapl  $fb and $msft trade today. Three important pivot points were realized in the pre-market today. First we retested the 50 SMA  we gap filled  and we retested the last low the spy printed last week of $378.47. I would have preferred that all this retesting and filling to be done during regular trading hours for a concrete confirmation. What we really want to see this morning is confirmation. Confirm  50 SMA ($380.71) and confirm a bounce of that low of $377.99 the market printed in pre-market trading but at a minimum a retest of the 50 SMA if we open above it. To have a semi confirmation we need to hold and take down the first pivot point at a minimum. Let&amp;#39;s see how open before we make any further analysis shall we. One more thing if this bounce fails take a look at the bottom of the chart.,1307,None,-0.6253,-1.0,0.0,0,No
MSFT,2021-03-04T14:11:04Z,$CAPC This has been green on days when the entire market is red. The SQUEEZE potential here amazing..Imagine what this can do on a day when the entire market is green. 🚀..This can jump quick! Plus it has all the catalysts and set-up. No Negatives! F.O.M.O. soon...$AAPL $ENPH $MSFT,90,Bullish,-0.4184,-1.0,1.0,0,No
MSFT,2021-03-04T14:06:38Z,$MSFT  Levels as i see it,723,Bullish,0.0,0.0,1.0,0,No
MSFT,2021-03-04T13:58:44Z,$MSFT nasdaq broke below key 13000 level not good - looking to get in but could drop more,166,None,-0.6432,-1.0,0.0,0,No
MSFT,2021-03-04T13:35:43Z,$AAPL $AMZN $MSFT Biden is a moron.  Unbelievable that people supposedly voted for this guy.  He walks around with depends followed by his nurse wife  hasn’t spoken to 1 foreign leader  unable to answer questions,5,None,-0.34,-1.0,0.0,0,No
MSFT,2021-03-04T13:20:34Z,$AAPL $AMZN $MSFT don’t put Obama in that category as bad president biden yes,2,None,-0.2023,-1.0,0.0,0,No
MSFT,2021-03-04T13:15:31Z,FANG and Big Tech stocks are declining and technicals are deteriorating .Facebook under 200 MA very 🐻ish .Amazon under 200 MA very 🐻ish .NETLIX under 50 MA .Google under 21 MA.Additionally .Microsoft under 50 MA .Apple under under 50 MA.NASDAQ QQQ under under 50 MA.$AAPL $MSFT $AMZN $QQQ $SPY,725,None,0.2449,1.0,0.0,0,No
MSFT,2021-03-04T13:10:16Z,$MSFT FML! WTF!,15,None,-0.658,-1.0,0.0,0,No
MSFT,2021-03-04T12:54:14Z,$MSFT $AAPL $TSLA $MVIS  remember tomorrow is Friday might be a weekend sell-off,2,None,0.0,0.0,0.0,0,No
MSFT,2021-03-04T12:53:14Z,$MSFT reversal incoming today..,88,Bullish,0.0,0.0,1.0,0,No
MSFT,2021-03-04T12:52:16Z,$SFOR if I was $AMZN I would buy Strikeforce Technology for their most secure Patented Video conferencing solution and beat $MSFT and others to it.,4,Bullish,0.6115,1.0,1.0,0,No
MSFT,2021-03-04T12:48:49Z,$AAPL $MVIS $TSLA $MSFT lets see a bit of bounce today✅✅... just a bit to set up for tomorrow,36,Bullish,0.0,0.0,1.0,0,No
MSFT,2021-03-04T12:37:03Z,$MSFT has reached the extreme from the peak at $227.27- $215.59 area &amp; soon a minimum 3 wave bounce should take place #Elliottwave #Trading,41033,None,0.1027,1.0,0.0,0,No
MSFT,2021-03-03T18:00:59Z,$MSFT someone please extinguish this dumpster fire...,4,None,0.1779,1.0,0.0,0,No
MSFT,2021-03-03T17:54:40Z,$MSFT $235 EOW,0,Bullish,0.0,0.0,1.0,0,No
MSFT,2021-03-03T17:35:58Z,$MSFT This was up 2 dollars AH last night...then down 4 dollars today??,14,None,0.0,0.0,0.0,0,No
MSFT,2021-03-03T17:35:17Z,$MSFT people keep selling ! I just keep buying ! LETS GO PEOPLE 💰💰💰,8,Bullish,0.0,0.0,1.0,0,No
MSFT,2021-03-03T17:26:01Z,$MSFT didn&#39;t think I would see this below 230...long term bullish...short term??,0,None,0.0,0.0,0.0,0,No
MSFT,2021-03-03T17:17:10Z,$SPY $AAPL $MSFT Tech stocks are definitely not the place to be right now. Much better park your money in a SPAC like $BTWN and wait out the huge interest rate crash that’s coming...,6,Bullish,0.8658,1.0,1.0,0,No
MSFT,2021-03-03T17:15:03Z,Coverage Initiations  Resumptions &amp; PT Changes: $TMO $TEAM $VMW $NOW $MSFT,40760,None,0.0,0.0,0.0,0,No
MSFT,2021-03-03T17:02:20Z,$QD $GOOGL $TWTR $MSFT QD GOING NUTS!!!!!!!!!,1,Bullish,0.0,0.0,1.0,0,No
MSFT,2021-03-03T16:56:52Z,$GME $AAPL $AMZN $TSLA $MSFT GME the world beater among these giants lol!  Apparently shi*est stocks win these days!,18,None,0.8011,1.0,0.0,0,No
MSFT,2021-03-03T16:36:03Z,@TheBushDoctorRx I don’t know about that    but they did pay a lot of money for a chat ... $MSFT was already putting slack out of business . Basically $CRM saved them ... but they are paying an high price for that !,2,Bearish,0.5255,1.0,-1.0,0,No
MSFT,2021-03-03T16:31:03Z,@quark_n_jaguar Typically  it&#39;s due to lower liquidity versus stocks that have higher trading volume and float. For example  check out such stock as $AAPL $MSFT or even the $SPY that is a S&amp;P500 ETF.,5,Bullish,-0.296,-1.0,1.0,0,No
MSFT,2021-03-03T16:28:50Z,$AI Short selling high interest stocks always provide for a great opportunity + weakness plays 💎🙌🚀. $MSFT $SNOW $ADBE $CRM,148,Bullish,0.8442,1.0,1.0,0,No
MSFT,2021-03-03T16:28:44Z,@Traderjoe2869 @realreturnplus @SwingTradeToronto Market becoming  &quot;would you rather&quot; as vintage tech stocks reprice...and stocks like $NVDA $MSFT $CRM are compared to SPAC candidates like $HEC,938,None,0.6124,1.0,0.0,0,No
MSFT,2021-03-03T16:22:49Z,$AAPL $AMZN $TSLA $QQQ $MSFT Made.The switch from bear to bull today. Stocks have gotten too cheap with coming stimulus,85,Bullish,0.0,0.0,1.0,0,No
MSFT,2021-03-03T16:21:26Z,$MSFT honestly such a waste of fucking time holding this. Wow  just wow....,0,None,0.6908,1.0,0.0,0,No
MSFT,2021-03-03T16:04:20Z,$MSFT store model is dead people done playing Xbox . Time to throw Microsoft in the trash . Going down to 150 $SPY $QQQ $DJIA,57,Bearish,-0.5423,-1.0,-1.0,0,No
MSFT,2021-03-03T16:01:19Z,$GME This is gonna tank pretty soon! Good luck all! Take your profits and run! This will be down to $70 by end of week! Take profits and buying some puts! $TSLA $MSFT $AMC $TLRY,11,Bearish,0.9439,1.0,-1.0,0,No
MSFT,2021-03-02T21:45:42Z,@brokeboybrian Yep  15k worth of computing consumption and access to Microsoft resources to further their AI tech. &quot;Carnegie’s project was chosen through a competitive global selection.process.&quot; Meaning this was the most exciting AI project that $MSFT saw. GLOBALLY.,19,None,0.807,1.0,0.0,0,No
MSFT,2021-03-02T21:37:09Z,$MSFT $TWTR $MRNA $FB $PFE  💩,0,None,0.0,0.0,0.0,0,No
MSFT,2021-03-02T21:28:31Z,$MSFT $BABA $AAPL $TSLA $AMZN  .ZOMEDICA.......+2 9%.......,12,None,0.0,0.0,0.0,0,No
MSFT,2021-03-02T21:17:39Z,$SPY Follow the guy w/ a real track record &amp; real money at risk  Scott&#39;s been spot on for years &amp; hes not a ST Bear w/ $600 account :o).Money will flow back into Tech  Its a matter of when but they will be chasing it again  they always do..$MSFT $BABA $AAPL $GOOG,3759,None,-0.128,-1.0,0.0,0,No
MSFT,2021-03-02T21:12:20Z,$ORCL dollar a day gets this spectacular beauty to 120 before you know it whew $SPY $MSFT $QQQ,80,Bullish,0.5859,1.0,1.0,0,No
MSFT,2021-03-02T21:10:13Z,$SPY If the &quot;Smart Money&quot; is Selling Tech now you have to think its time to Buy Tech since we all know Retail has beat them for the past 7 years..When it feels really  really  really Bad you Buy  Hold  Sit  Wait...Markets trend up not down ..$BABA $AAPL $MSFT $FB,3759,None,-0.6525,-1.0,0.0,0,No
MSFT,2021-03-02T21:07:52Z,$MSFT ,11,Bullish,0.0,0.0,1.0,0,No
MSFT,2021-03-02T21:02:49Z,$BABA Well that was lovely :o) Under Avg Vol again but no one was Buying tech into the close .. well I was but :o) ..$AAPL $MSFT $AMZN $FB,3759,None,0.8402,1.0,0.0,0,No
